,name,description
460,my brother... nikhil,famous swimmer nikhil kapoor (suri) deals with the repercussions of announcing the fact that he has hiv/aids.
461,hotel salvation,"faced with his father's untimely and bizarre demand to go and die in the holy city of varanasi and attain salvation, a son is left with no choice but to embark on this journey."
462,geet gaata chal,"durga babu, and his wife, ganga, comes across shyam, an orphan, who sings and dances on special occasions, and decide to take him home. shyam meets with their daughter, radha, and she ..."
463,pratibandh,"born in an orphanage, brought up by his strict and unrelenting school-master, satyendra sharma, young siddhanth has not been shown any love or kindness in his entire life. now he is grown ..."
464,karamati coat,"raju is a poor rag picker. one day a magical stranger gifts him a red coat. raju discovers that whenever he puts his hand in the coats pocket, a rupee appears. he and his friends have a ..."
465,aag,kewal (raj kapoor) reluctantly accepts his father (kamal kapoor)'s demands to continue the family tradition by studying law and become a successful lawyer just like him. however due to a ...
466,palkon ki chhaon mein,ravi (rajesh khanna) accidentally lands a job as postman in a remote village after being an unemployed college graduate for some time. he meets a variety of people as he fits into rural ...
467,black home,"rajawadi remand home is in lot of controversy because of many illegal activities. dk, a news channel bureau chief wants to bring the facts out but the system is not so easy to expose."
468,trishul,"vijay kumar is the illegitimate son of a construction baron, raj kumar gupta and his first love, shanti, whom he gives up in order to marry a wealthy heiress. raj does not know of this son,..."
469,baazi,"madan comes from a poor family background. unable to find employment, he takes to gambling in a big way. he makes a lot of money, and decides to open a gambling den, where he makes even ..."
470,imtihan,"madhu shastri lives a wealthy lifestyle with her widowed dad, who is also the principal of adarsh mahavidyalyal. she is in love with vijay, a pilot, and both are expected to marry soon. ..."
471,vaishali,princess of a country long suffering from drought should please a saint living in distant hills to bring rain.
472,uphaar,"anoop studies law in calcutta, while his widowed mom in a small town in west bengal. he has a sister, sudha, who is married to anil and lives in calcutta. since anoop is of marriageable age..."
473,mamta,"monish rai comes from a wealthy family, and is in love with deviyani, who is poor. monish has to travel abroad to further his education in law, but promises to stay in touch with deviyani. ..."
474,ankahee,"renowned indian astrologer jyotibhaskar pandit satyanarayan chaturvedi, wishes a doctor, who is about to perform surgery on a woman, good luck, but also tells him that his patient is going ..."
475,kaala patthar,"a disgraced sea captain, an engineer, and an ex-convict must work together when flood waters endanger the lives of hundreds of coal miners."
476,abhiyum naanum,"the father of a grown daughter meets the father of a toddler at a playground and recounts the story of his own relationship with his daughter through the years, including his difficulties with accepting her marriage."
478,moods of crime,two students in an ma psychology program conduct experiments in criminal psychology that involve actually committing the crimes.
479,vishwaroop,"a classical dancer is suspected by his wife, who sets an investigator behind him. problems arise when she finds that he has a very dark connection with a world no one can ever think of being, and that he would be from there."
480,maryada,"lalita lives with her widowed mother in a small village in india. one day while traveling by road, she is stranded, and a young man named raja babu comes to her assistance. both fall in ..."
481,vivekananda,"the film is based on the life of bengali, hindu monk narendra nath datta aka vivekananda from his birth (1863) to his returned to india from the west (1887). it is spiritual take on ..."
482,shaukeen kaminay,the story deals with the question that why virginity is a privilege for men and justification for woman.
484,sharafat,"with the passing away of rajesh's parents, jagatram undertakes to look after him. he hopes that some day rajesh will marry his daughter rekha. he arranges rajesh's employment with a local ..."
487,1971,"based on true facts, the film revolves around 6 brave soldiers who escape from the clutches of the pakistan army and risk death with honour and courage with sacrifice towards their journey home."
488,woh 7 din,"maya, coming from poor family, is married to the affluent dr. anand; but she tries to commit suicide on the nuptial night. she tells anand that she was in love with prem whose ambition was ..."
489,andaz,nina is the rich and spoiled daughter of a rich businessman. one day while horse-riding she loses control of her horse and is rescued by a young man named dilip. dilip instantly takes a ...
490,neecha nagar,"the films takes an expressionist look at the gulf between the rich and poor in the society. the film centers on a wealthy and capacious landlord, sarkar (rafi peer) who lives in a palatial ..."
491,walkaway,"four intersecting stories, each exploring different aspects of love and companionship, as four friends struggle to find their way through the meanders of indian matrimony, in a bittersweet ..."
492,chehere: a modern day classic,"chehere is a period drama set in the 1950s that revolves around the life of a retired silent era actor. the actress in the film has a bitter relationship with her sister, a poetess. it ..."
493,trishagni,"the film is set in a central asian desert in the 1st century b.c. a sandstorm strikes the buddhist town of sariput, leaving just four survivors - two monks and two children - in the upper floor of a monastery."
494,shaheed,shaheed (1965) presents the inspirational biography of one of india's greatest patriots sardar bhagat singh.
495,marhi da deeva,dalit jagseer singh's troubles do not seem to end in this poignant portrayal of life in a small village of punjab in newly independent india.
496,maya bazaar,"the story revolves around the characters in the hindu epic ""the mahabharata"" and is set in dwaraka, the hometown of lord krishna (ntr). arjuna's son abhimanyu(anr) falls in love with ..."
497,pavitra paapi,"kedarnath is employed with a local clock/watch repair shop, owned by a parsimonious adarshan lala. kedarnath goes out of his way to help a destitute woman, maya, who husband is missing, ..."
498,gharana,"a mother and daughter create bitterness, hatred, acrimony and discord in a wealthy family."
499,aakhri khat,a wake up call to politicians in the indian government
500,chapekar brothers,the hindi film will present the glorious journey of chapekar brothers who contributed to the freedom struggle in 1897.
501,dulhan wahi jo piya man bhaaye,"wealthy businessman, harkishan, lives in a palatial house, with his womanizing and alcoholic grandson, prem. he would like prem to get married, settle down, and look after the business, but..."
502,mumbai love,"for a young, indian-filipino named nandi and a beautiful, free-spirited filipina named ella, love is not to be arranged but to be found through the intercession of fate."
503,apradhi kaun?,"a wealthy man, suspected of murder, is killed before he can be arrested. everyone in his household is under suspicion. a private investigator looks into the case and finds himself falling in love with one of the suspects."
504,dastaan,"judge vishnu sahai was brought up in an orphanage and has no knowledge of his family background nor of his religion. he is married to beautiful mala, who he loves very much, and he has a ..."
505,anarkali,"shahenshah jalaudin akbar is the grandson of babbar, and the son of humayun. he is known to have ruled over hindustan with a humane and just heart. he knew in order to garner the support of..."
506,little terrors,"a 13-year-old american boy is recruited by terrorists to bomb a u.s. embassy in delhi. after being brainwashed he is sent to live with a muslim family prior to the attack. however, the man ..."
507,deedar,"a traumatized and blind young man makes a living singing, and searching for his childhood sweetheart."
508,aghaat,"madhav verma (om puri) is a dedicated, honest, and diligent union representative. he represents the majority of the employees in an organization, which recognizes his union. however, there ..."
509,second marriage dot com,"akshay, young it professional from delhi; only child of a single parent suneel narang embarks on a journey to get his father, a widower; married so to finally put an end to his prolonged ..."
510,anubhav,"meeta sen (tanuja) and amar sen (sanjeev kumar) have been married for several years. due to amar's hectic work schedule, the couple have not had children, as there was no time for intimacy...."
511,halo,"the story revolves around a seven-year-old girl, sasha (benaf dadachandji), who looses her puppy. it is about her search and the variety of people she meets."
512,solva saal,"a con man (dev anand) helps a damsel who, after eloping with her boyfriend, finds that her boyfriend has stolen her necklace, and together they go in search of the thief and end up in a ..."
513,basant bahar,"the only son of the royal astrologer, narsin (om prakash) namely gopal (bharat bhushan) is not interested in astrology but in music and songs, much to the dismay of narsin. gopal's talents ..."
514,vakil babu,"shekhar kumar lives a solitary life and earns his living sculpting, as he is blind. one day he meets with lovely kalpana choudhry, both fall in love with each other, and eventually get ..."
516,vishwavijay,"vishwavijay, a patriot, secretly keeps a guy named mask in house to interrogate him about a blast in the city. but when he doesn't get the answer, he lays a plan to find out the truth, along with showing mask the right track."
517,swami ayyappan,"swami ayyappan, who was known as manikandan during his lifetime, is a mythological super-hero. he is wise and well-versed in martial arts. he is soft and kind to the good and a nightmare to..."
518,naseem,the delicate relationship between a 15-year-old girl and her grandfather is used to describe how the growing political tensions between muslems and hindus in 1992 led to the destruction of ...
519,shatru,"inspector ashok sharma is assigned to take over as inspector in-charge of a remote police station, which he does. upon his arrival there, he comes to the rescue of a blind man and a widow, ..."
523,mehrban,"shanti swarup is a businessman and lives a wealthy lifestyle with his three sons, ram, shyam, and sunder; his wife, parvati; widowed sister, devki; an unmarried daughter, geeta; and a ..."
524,seema,"an orphan gets in trouble with the law and is sent to a home for young women. there, for the first time, she finds friendship, compassion, and possibly love."
525,patala bhairavi,"the son of the gardener thota raamudu (ntr) falls in love with the princess of ujjain (malathi). when he faces resistance from the king, he approaches a sorcerer (svr), who actually plans ..."
526,phagun,"shanta dhamle lives a wealthy lifestyle in bombay along with her dad, shamrao, and mom, ansuya. she incurs their displeasure when she falls in love and gets married to a poor and overly ..."
527,mohan rakesh's adhe adhure,the story of a middle aged woman caught in her destiny and circumstances who tries to find fulfilment in relationships outside her marriage.
528,baarish,"city bred ramu is involved in petty crime. when his close friend gopal dada asks him to go to the village and look after his mother, and sister, chanda, ramu does so. after coming to know ..."
529,woh main nahin,"the story is symbolic ,as to how marriages are being misused in india since 1938,whence even the independence of india stands threatened and that is why the movie was released in 1974.the ..."
532,pagdi: the honour,"in this simple story about honor versus love, an old man struggles in front of his entire village to accept his son's new love interest."
533,the spirit of mumbai,"ex-con, arjun dutta, just wants his life back, but when bollywood actress, rani deol, is kidnapped from the limo he is driving, he must go all out against impossible odds to save her and restore his name."
534,baharon ke sapne,"in a small industrial town near bombay lives bholanath, who works at the local mill, and is the proud husband of gauri, a daughter, champa, and above all his son, ramaiya, who is a graduate..."
535,bajrangbali,"bhagwan shri bajrangbali was born in a vanar family based in kishigandha. his father was pawan (god of wind), and his mother anjani. he had two brothers, sugreev and vali (aka bali), and a ..."
536,the churning,"dr.rao (girih karnad) is a vetinary doc, who comes to this village with the aim of starting a milk co-operative society for the welfare of the villagers. but the wealthy businessman ..."
537,kanyadaan,"two small children, rekha and amar, undergo a marriage ceremony under guidance of their respective parents. years later, rekha and amar have grown up, and are now capable of fulfilling ..."
538,dubai return,"ten years ago, small time crook aftab angrez made a hit-man's dream debut in the mumbai underworld with a shocking, high-profile killing. much to his bad luck, the credit was attributed to ..."
539,teesri kasam,a naive bullock-cart driver falls for a traveling courtesan.
540,scorching winds,"in post-partition india, a muslim businessman and his family struggle for their rights in a country which was once their own."
541,khamoshi,khamoshi is an intriguing tale of a female nurse trying to maintain a balance between her professional life and her emotions who falls victim to the natural feeling of love and compassion when a person takes care of another person.
542,damul,damul (bonded until death) highlights the ill effects of bonded labour system while narrating the story of a bonded labour who is left with no choice but to steal by his landlord.
543,jagte raho,"in hopes of improving his lifestyle, a poor peasant re-locates to bombay virtually penniless. it is late at night and he is thirsty, and he is unable to find water anywhere. a singing drunk..."
544,aakrosh,a public prosecutor discovers the harsh realities about life of the scheduled tribes in india during 1980s while defending a case of a tribesman charged of murdering his wife.
545,dil deke dekho,"neeta is a heiress, the only daughter of u.k. based industrialist, jagat narayan. she is of marriageable age, and is presently wooed by kailash, chandra, and raja. she prefers chandra over ..."
546,shirin farhad,a princess is forbidden to see her childhood sweetheart and forced to marry an emperor.
547,geet,"delhi-based kamla lives a wealthy lifestyle along with her widower dad, dindayal, and is a popular stage singer and dancer. she goes for a holiday in scenic kulu, meets with flute-player ..."
548,ankur: the seedling,"laxmi lives a poor lifestyle in a small village in india along with her husband, kishtaya, who is a deaf-mute. both husband and wife work for the wealthy landlord. the landlord's son, surya..."
549,mohalla assi,"based on dr. kashinath singh's hindi novel 'kashi ka assi', a religious satire based on the commercialization of the pilgrimage city, and fake gurus who lure the visitors and tourists. assi..."
550,do ankhen barah haath,"progressive, reform-minded young warden gets permission to take six surly murderers from prison to dilapidated country farm, to rehabilitate it and themselves through hard work and kindly guidance."
551,ek doctor ki maut,"after years of painstaking research at the cost of his domestic pleasure, dr. dipankar roy discovers a vaccine for leprosy. the news is flashed over television and overnight, an ..."
552,sahib bibi aur ghulam,"a lowly servant, bhootnath gets close to the wife of his employer, and narrates her story through his eyes and perspective."
553,waaris,"multi-millionaire widower kishan singh prepare a will which states that his ancestral property is equally divided among his two sons, gajjan and dulla while the son of gajjan, shravan shall..."
554,khargosh,"bantu who finds himself playing go-between for his older friend avneesh, and the girl he desires, who is metaphorically named mrityu by her young boyfriend. but once the lovers get together..."
555,devdas,"childhood sweethearts, devdas and paro grow up in a small village with a love-hate relationship which changes to love when they mature. devdas' dad does not approve of his marriage or even any friendship with paro, and sends him away to calcutta where he is introduced to a dancer, chandramukhi, who adores him and falls hopelessly in love with him. devdas in not aware of chandramukhi's affection ..."
556,teesri manzil,"a woman blames a nightclub drummer for the suspicious death of her sister, and seeks revenge. however, the pair work together to solve the mystery and become romantically involved, after he introduces himself under another name."
557,arth,a film-maker who is having an extra-marital affair with an actress decides to leave his wife. arth is the story of this women's search for her identity.
558,gangaajal,"an ips officer motivates and leads a dysfunctional, corrupt police force of tezpur to fight against the corrupt politician."
559,yeh saali zindagi,gangsters kidnap the prospective son-in-law of a politician in order to secure the release of an imprisoned gang-member.
560,ghar dwaar,"dhanraj resides with his two brothers, chander and ketan, his sister, asha, and wife, savitri, in their family home. dhanraj wants chander and ketan to study and get better jobs, so he ..."
561,deewaar,"as a youth, vijay struggles as a dockworker. eventually, he becomes a leading figure of the underworld, while younger brother, ravi, is an educated, upright policeman. but in the end, it all comes down to, who does mother love more?"
562,haraamkhor,"in a small gujarati town, a school teacher has more than an academic interest in one of his female students."
563,manokaamnaa,"gauri lives a poor lifestyle in a small town in india along with her maternal uncle, pandey, and aunt, parvati. pandey is the peon for the district forest officer, and his wife and gauri ..."
564,dhanwan,vijay kumar saxena is a rich playboy who cares about nothing he falls in love with asha nath who she ignore as she is in love with anil due to an accident committed by anil vijay lost his ...
565,27 down,sanjay is on a pilgrimage journey to varanasi and remembers his life in flashbacks.
566,aarti,"aarti (meena kumari) is a dedicated and hard-working doctor, who believes that her skills should be used for the welfare of patients only. in contrast her fiance, dr. prakash (ashok kumar) ..."
567,gangoobai,"gangoobai, a maid-in-matheran, has lived a life with simple aspirations, until one day she finds a new purpose of buying a designer sari. she follows her dream to the big city of mumbai."
568,sawan ko aane do,"birju lives in a small village and likes to sing. the village zamindar's city-educated daughter, chandrika returns to the village and is thrilled by birju's voice. she encourages him to ..."
569,pratisaad: the response,the story of one homeopathic dr.aditya deshmukh who sets his own pure homeopathic hospital where all diseases has been treated with homeopathic medicines without any use of oxygen cylinders...
570,oraalppokkam,mahendran and maya split up after 5 years of living together. after a long time maya calls him from a himalayan valley kedar which is devastated in a cloudburst soon. mahendran starts an aimless journey which turns out to be a search.
571,mahal,"to pay for his sister's marriage, a brother enters into a criminal conspiracy to impersonate the nephew of a wealthy male."
572,tapasya,"tapasya - meaning penance is the story of indu, eldest child of prof chandrakant sinha takes on the responsibility of rearing her younger siblings, vinod, madhu and the youngest sister. ..."
573,triyacharitra,"a daughter of poor parents was engaged to a man when she was 13. the man is away working in calcutta. in the meanwhile, she befriends a truck-driver who promises her parents a huge amount ..."
574,massey sahib,"in a small, tribal district town of central india in 1929, francis massey is the 'english type babu' at the deputy commissioner's office. massey believes that because he is christian and ..."
575,maya,"disillusioned with his wealthy friends, a male goes to live in the slums and falls in love with a burglar's sister."
576,zara si zindagi,"remake of balachander's tamil hit varumayin niram sivappu, kamal haasan reprises his role as raja, a graduate looking for work in capital, sharing a small home with two other unemployed ..."
577,manasarovar,an efficiency expert meets with a woman who may have known his missing brother.
578,suraag,"prof saxsena and dr gupta are friends living in los angeles usa. dr gupta decides to marry an indian girl, so they plan to visit bombay, india, to select a suitor."
579,rikki-tikki-tavi,rikki is a young mongoose who is adopted by a human family after nearly drowning in the river. he returns the favour by protecting them from two murderous cobra.
580,kismet,a former theater owner and his crippled daughter live in poverty until a chance encounter with a young pickpocket brings romance for the petty criminal and daughter as well as a chance by ...
582,chhaya,"young and attractive sarita choudhary lives a wealthy lifestyle with her widowed dad, jagatnarayan in a palatial house with her aunt, rukmani; cousin, lalli, and a maid-servant, manorama ..."
583,pyaar ki jeet,"the story surrounds the lives of dr. rehman (shashi kapoor) who believes in saving the lives of the poor, instead of opening up a clinic in a big city and making money; soni (rekha), an ..."
584,patita,"radha earns a living begging in order to support herself and her crippled and ailing father. they live in a small tenement, under the constant threat of eviction by their landlord for ..."
588,zindagi,"raghu shukla lives in a small town in india with his wife, sarojini; two sons - naresh and ramesh, who are married to sudha and shobha respectively, and altogether have three children, an ..."
589,bloody isshq,the story revolves around the three characters and showcases the love trap which nirvaan throws for natasha hiding the fact that he is married to radhika. the love mystery unravels as destiny has something else planned for nirvaan.
590,lagna pahave karun,"lagna pahave karun is a film that talks about love, relationships and marriage as an institution."
591,pooja ke phool,"balraj (dharmendra), affectionately called raj, by his elder brother (nana palsikar) and sister vija (madhumati), is a student in college in the arts semester. as the family is not very ..."
592,sri shirdi saibaba mahathyam,"during the devrajya it was bhagwan shri vishnu who ruled the universe in the form of bhagwan shri ram; then during the manavraj, where he ruled as bhagwan shri kishan; in the kalyug (dark ..."
593,attahaasa,veerappan has been a subject of great mystery and inquisitive character among the journalistic society. his life has been marked with various twists and turns that has always left a common ...
594,padatik,a political activist escapes the prison van and is sheltered in a posh apartment owned by a sensitive young woman.
595,shiva,"shiva is disgusted by the corruption in and around his new college, and along with his friends, he decides to take a stand against the status quo."
596,mahananda,"young babul visits his uncle's village and meets mahananda. in no time they fall in love, but their union is opposed strongly by mahanada's mother."
597,shackle,the grim journey of the protagonists viz. abeera (26 yrs) and kesar (11 yrs) in under shade of this malpractice has been named saankal (shackle).
598,myoho,"myoho is based on the philosophy that what goes around comes around and explains that man charts his own destiny. one half of the film is based in 1934 in a small village of bihar, the ..."
599,hum tum dushman dushman,an indian soldier gets stuck in no man's land along with his pakistani counterpart. they disregard their differences as they join forces to save the life of a kashmiri boy who steps onto a mine.
600,haggada kone: end of the rope,"channa the protagonist is a murder accused who has been sentenced to death by the court of law. his thoughts buried in his subconscious wakes up and erupt out as a dream, where he questions..."
601,ek ghar,"rajanna and geeta arrive in the city with the hope of building a cozy little home. when they find their dream house, their happiness knows no bounds. things are fine till, one day, a loud workshop opens up next door."
605,adhikar,"vishal and jyoti come from different backgrounds, but fall in love, and in spite of oppositions from both the couples' sides, are married. after marriage, they settle down to some wedded ..."
606,servus ishq,"maya is on her way to austria to fulfill her grandmother's last wish - to bring her ashes to mariazell. in vienna she meets jay, who immediately falls for her charm. though engaged in india..."
608,suddha,"the winner of the best indian film at the osean cinefan's festival of asian films, new delhi, 2006, suddha depicts the story of a joint family in rural south india which realizes that it is..."
610,debshishu,"this powerful and realistic film is a study of poverty, illiteracy, natural calamities and the toll they take on the human soul. the story of a rural couple who're trying to survive on the ..."
611,sarivar sari,vini and mani are sisters who belong to an orthodox family which values conformity over independence. their family and surroundings are a constant reminder of what their place and aim in ...
612,bidyapati,classic celebration of mithila's king shiva singha's (bannerjee/kapoor) love for his wife while chronicling the influence of the pacifist court poet bidyapati (sanyal). invited to the royal...
613,pyaasa sawan,"while looking for employment, chandrakant is mistaken for the son of a wealthy landlord by prabhudas, who wants him to marry his only daughter, shanti. by the time they find out the truth, ..."
617,sat bhai chompa,"once upon a time, there lived a king. the king was not able to produce any heir to the throne through his three wives. the king was depressed and spent large amount of time by himself in ..."
619,ei ghor ei songsar,"two brothers lived happily with their married sister. once they both got married; motivated by their wives, one choose the path of honesty and hardship and the other one became corrupted."
621,shilpi,a homeless boy fell in love with his owner's girl.
622,dipu number 2,an adventure story for young boys.
623,heerak rajar deshe,the musical duo of goopi and bagha make a comeback when they are invited to play for a king.
624,nondito noroke,a simple middle class family having problems because of their mentally sick girl.
626,the hunger,a story of poverty and hunger.
627,goopy gyne bagha byne,"goopy wants to sing, and bagha wants to play the dhol. they meet accidentally and are helped by king of ghosts. with newly endowed abilities, they land in kingdom of shundi, where their ..."
629,...ebong kanna,"the story of '...ebong kanna' starts from 1984 when habibullah, son of moulabi afaz ali was born in the village in a family which was not very well off; the very same birthday was shared by..."
631,chhutir ghonta,khokon is the one and only adorable child of a widow. the mother takes refuse in her son as a way to forget the loss of her husband. khokon is a meritorious student of nilgiri bohumukhi ...
632,jibon thekey neya,"a political satire of bangladesh under the rule of pakistan metaphorically, where an autocratic woman in one family symbolizes the political dictatorship of ayub khan in east pakistan."
633,aguner poroshmoni,in the middle of the 1971;curfew is going on all over the bangladesh. the liberation army is operated as effective guerrilla force - badiul alam is one them. alam plans for starting ...
634,rupkothar golpo,an woman asks an unemployed guy to babysit her child. but she lost the baby and couldn't communicate the unemployed guy. he has to lead a miserable life with this child.
635,apur panchali,"this is a real life story inspired by subir banerjee,the little child actor who played the iconic role of apu in pather panchali."
636,load shedding,take a trip back to the 90's in kolkata when moments spent even during a load shedding were priceless.
637,sthaniya sambaad,atin searches for love while his home is getting demolished.
638,sonar kella,"a young boy becomes a target for crooks, after he claims to remember his past life and mentions precious jewels in a golden fortress."
639,common gender,this story has been shown a few basic transgender life
641,personal assistant,ramapoda dutta gets a job in an all-female company as the personal assistant to the managing director.
642,dukhai,natural disasters are a regular feature of life for people living on the coastal area of bangladesh. this is a saga about the vicissitudes of these people and their eternal struggle for life.
643,marutirtha hinglaj,"based on the travelouge by avadhoot, marutirtha hinglaj is a film about a pilgrimage to hinglaj, now in pakistan..."
644,damu,a gullible man faces strange situations on his quest fo find an elephant in order to keep a promise he made with a little girl.
645,srabon megher din,"the second movie directed by humayun ahmed. a village drama interweave around a charming girl, a folk singer, his love interest and the local aristocratic family's involvement, the movie provide with some beautiful songs."
647,dhire bohe meghna,"a delhi girl comes to her aunt's house, where she hears the reality of bangladesh's independent story."
649,deya neya,the son of a wealthy industrialist aspires to be a singer against the wishes of his father.
650,the clay bird,"a family must come to grips with its culture, its faith, and the brutal political changes entering its small-town world."
651,the land of peace,"twelve people are passengers on board.the boatmen are taking them to safety, far away from the fierce clutches of war. all the people on board are devastated by the horrors of war. as the story advances, different events unravel."
652,hangor nodi grenade,a tragic story of a mother who dedicates her only child for the sake of the freedom of the country during liberation war in 1971.
654,charachar,"lakha comes from a family of bird catchers, but questions the value of catching birds. he, and the older bhushan, sell their caged birds to the local dealer. lakha's wife, sari, complains ..."
655,sajani go sajani,"on an altruistic quest, a man loses his vision and becomes unwittingly estranged from his family - but the power of music may be just what is needed to unite him with his loved ones."
657,nayak,"en route to delhi to receive an award, a bengali film star reevaluates his success through his fellow passengers, dreams and past experiences."
658,jomalaye jibanta manush,messenger of 'yamraj'- the god of dead mistakenly bring a alive person to heal. but a part of his nobility he got an option to pass time in heaven. then the alive honest earth person made a revolution like our world in heaven n' heal.
659,guerrilla,"bilkis banu, lost her husband hasan on the bloody night of 25th march 1971. she tries to forget him and concentrate on the urban guerrilla movements of dhaka with altaf mahmud, shahadat, ..."
660,kangal malsat,"fyataroo: flying human beings; choktor: black magic sect bhodi, the head of the choktors, initiates a total war against the ruling communists of west bengal, india. fyataroos join hands ..."
661,jana aranya,"a bright and idealistic young man steels himself for the dog-eat-dog business world, only to flounder in a job market packed with thousands of other hopefuls."
662,icecream,title animation : tanvir hossain
663,80 te asio na,"ill-behaved and disrespected like a burden by his own sons, an 80 year old person wishes of going back to his youth."
664,burning calcutta,film based on real story of kolkata. a devastating smoke emitted from a fire at the basement of a high profile centrally air conditioned private hospital had taken lives of 89 patients and 4 sincere hospital staff on december 2011.
666,bipasha,a son's frantic search for his mother. a wife's desperate search to get back her husband. a father's endless repentance for his mis-deeds. a revolt against society's empty rituals & rules. this is all what bipasha comprises.
672,moner manush,rahul falls in love with famous industrialist's daughter payel.
673,taka ana pai,"a lawyer, son of a local decorator wedding cook, unwillingly got married with a rich father's goofy daughter & bring curse to his family."
674,uttar falguni,"a story of love and sacrifice of a mother who did everything to protect her child ,even from her husband."
679,oshikkhito,manik is a school going boy whose father died in boat drowning and lives from hand to mouth with his mother. one day the village head's evil eyes fell on his mother and not to be gratified ...
681,eagoler chokh,a detective seeks the truth about the murder of a young woman.
687,moroner pore,parents of a middle class family along with their children are living happily. suddenly an accident turned their happy face into pale.
694,nirjan saikate,"on his way to puri by train,the writer gets acquainted with a group of 4 bengali widows accompanying with their niece."
700,kancher swarga,"a story about a young man, who had to quit his studies as a doctor due to difficult circumstances, coming back and saving a young lady by performing a very difficult surgery."
701,sesh anka,a widower is about to marry a woman when another woman enters the scene claiming to be his first-wife.
704,barnali,"a man mistakenly invites a family, whose girl was (and is still) betrothed to the groom. it was he who set up the cousin's alliance, would the girl forgive him, whom he had fallen in love? how to prevent her from attending the marriage?"
707,mej didi,kesto lost his parents and comes to his step-sister's house.
709,teen bhubaner parey,"a street romeo stalks a girl, highly educated and above in social ladder. she falls in love, marries, and changes him, forcing him to study and leave his friends. he feels suffocated. he reaches top, and gets a chance to break free.,"
711,agni pareeksha,this story revolves around a young couple - kiriti and tapasi. tapasi's mother could not accept her daughter's wedding and brought her home. tapasi's father dies of shock. tapasi being well...
714,protibad,rana becomes a police officer and take care of his family.
716,agnishwar,a patriotic doctor lends moral backbone to the broken society of bengal.
718,saheb bibi golam,"a zamindar neglects his wife and prefers the company of alcohol and dancing girls. the decadence of the bangali zamindar milieu and the raising bourgeoisie in the late 19th century, seen ..."
719,jiban trishna,"a philanderer only son of a millionaire is attracted to a poor orphan artist, whose god-brother is a hater of rich people, and would go to any extent to get money off them.what would happen when the roles reverse?"
720,phulkumar,"a film about dream and illusion, witty and humorous criticism of social reality."
726,uttarayan,"pranbir goes to war and finds his double,named rateswar, who eventually dies in combat. pranbir goes to rateswar's house to tell his family about his death but the family mistakes pranbir for rateswar."
729,palanka,"rajmohan remains in pakistan at the time of partition and sells maqbool a giant bed, which upsets the local muslims."
732,rashifal,utpal dutt's mother arrives from the village and sets her own set archaic rules.
737,harmonium,"a child princess gets a harmonium from her father. through fate and manager she is orphan, then widow and penniless. the harmonium, sold, changed hand and bringing ill-luck wherever it went. will they ever meet? under what circumstances?"
743,assassin,about a group of students and their struggle during the naxal movement.
748,aamaar bhuvan,"a triangle love story between viz meher (kaushik sen), noor (saswato chaterjee) and sakina (nandita das)."
756,shutorang,"a young couple of village fall in love. but separated when the girl is married to another, when the the boy goes to town to earn money. can they reunite again now."
758,ghatak,bijoy (jeet) came to kolkata with his brother and met with puja (koyel mallick).
759,alor pipasa,a mother who is a dancer by profession wants to see his son successful man in future.
760,ichchhemotir gappo,"the story revolves around the budding relationship between its two central characters, ichche and neel, despite their contrasting personalities. ichche is a free-spirited dansusee, with a ..."
761,nodir naam modhumoti,"during the 1971 liberation war of bangladesh against pakistan in a remote village beside the river modhumoti, motaleb mollah, a landlord and a local muslim leader, collaborated with the ..."
762,five no budget films,little fish eat big fish is a kolkata based group of no-budget film makers. the latest venture of the group is the 5 no-budget short films produced in 2009-10...
764,emiler goenda bahini,"the only boy of a widow, went for a train trip to dhaka to receive prize & visit his aunt's house. on this trip, he lost his money & suspected two men. he left the train & followed them. on..."
767,dwitiyo ripu,"story of a young desperate writer, lost in the world of reality and fiction, who must decide whether to commit a murder or not."
768,sangee,bijay sacrifices his love when he founds that rupa is his best friend rana's sister.
769,anondo osru,"dewan sharif is an influential person in village and whoever rise voice against him, he kills him. his elder brother left villages a long time ago and lives in town. he plans to occupy the ..."
770,kuheli,"a middle aged woman named sheba comes to an obscure town named nijhumgarh to be the governess of a renowned household called ""raykuthi"". but little did she know about the bungalow and the ..."
771,runway,"the story of the film centers around the youth ruhul, who lives with his family in a small hut next to the runway of the international airport. his mother rahima struggles to support the ..."
772,distant thunder,"as food shortages reach catastrophic proportions, gangacharan attempts to preserve his privileged situation, while his generous wife, ananga, conversely tries to help and support the community."
773,paatshala,"paatshala (school) is a story of hope, friendship, and the courage to follow ones dream. uprooted from his home, 10-year old manik struggles to build a new life in the city. he soon ..."
774,pratidwandi,"a young college graduate is struggling to find a job. he lives in a flat with his younger, employed sister, revolutionary brother and widowed mother. the strain of the situation ultimately causes him to hallucinate."
775,bapjaner bioscope,conflict between a farmer and landlord due to bioscope.
777,days and nights in the forest,"a group of calcutta city slickers, including the well-off asim (soumitra chatterjee), the meek sanjoy (subhendu chatterjee) and the brutish hari (samit bhanja), head out for a weekend in the wilderness."
778,natoker moto: like a play,"journey of a female theatre artist is always a multi-dimensional conflicting experience as a girl, as a woman and even as an artist. it is more so especially when a woman is of maverick ..."
779,nawab sirajuddaula,"mirza muha siraj ud-daulah, more commonly known as siraj ud-daulah (1733 - july 2, 1757), was the last independent nawab of bengal. the end of his reign marked the start of british east ..."
